1742563051809;48.82442;15.25144
1742563051954.9216;48.83629;15.26643
1742563052100.8433;48.85047;15.28044
1742563052246.765;48.86009;15.29810
1742563052392.6865;48.87702;15.30423
1742563052538.6082;48.89206;15.31193
1742563052684.5298;48.90868;15.31855
1742563052830.4514;48.92482;15.32493
1742563052976.373;48.94139;15.33174
1742563053122.2947;48.95889;15.33613
1742563053268.2163;48.97627;15.34048
1742563053414.138;48.99258;15.34576
1742563053560.0596;49.00782;15.35651
1742563053705.9812;49.02433;15.36451
1742563053851.9028;49.03947;15.37259
1742563053997.8245;49.05566;15.38331
1742563054143.746;49.07022;15.39682
1742563054289.6677;49.08247;15.41308
1742563054435.5894;49.07830;15.43859
1742563054581.511;49.08666;15.45783
1742563054727.4326;49.09548;15.47935
1742563054873.3542;49.10754;15.49905
1742563055019.276;49.11953;15.51609
1742563055165.1975;49.12319;15.53946
1742563055311.1191;49.13587;15.55645
1742563055457.0408;49.14794;15.57180
1742563055602.9624;49.16338;15.58401
1742563055748.884;49.17637;15.59681
1742563055894.8057;49.17643;15.62137
1742563056040.7273;49.18276;15.64351
1742563056186.649;49.19169;15.66577
1742563056332.5706;49.19453;15.68996
1742563056478.4922;49.19376;15.71673
1742563056624.4138;49.19502;15.74221
1742563056770.3354;49.19978;15.76843
1742563056916.257;49.20746;15.79331
1742563057062.1787;49.21303;15.81855
1742563057208.1003;49.20970;15.84471
1742563057354.022;49.21323;15.86953
1742563057499.9436;49.21229;15.89567
1742563057612.7454;49.21352;15.91141
